Country,Val_MASE,Test_MASE,Val_sMAPE,Test_sMAPE,Val_RMSE,Test_RMSE,Val_MAPE,Test_MAPE,Val_Coverage,Test_Coverage
AT,0.8683887311273004,0.8205422979702398,23.961254482188966,22.153446323855153,0.09967600313670426,0.09139134631395919,51.92247934239429,30.123878077429055,0.807648401826484,0.7928082191780822
CH,0.723621388378509,0.7935253569687695,11.866384099035413,12.74257861615902,0.06413251459508602,0.06992006644031051,12.741825160473578,13.441268848006851,0.8744292237442922,0.839041095890411
FR,0.8299888212702334,0.692167728121209,29.965739234165383,22.759009051086977,0.08483552147507067,0.053704018965130704,45.93886976205017,42.22157106459501,0.853310502283105,0.8801369863013698
