timestamp,y_true,yhat,z_resid,flag_z
1595192400000000000,0.17251072643882237,0.17032954096794128,,0
1595196000000000000,0.14040538541204328,0.09822993725538254,,0
1595199600000000000,0.10090250036987725,0.051507674157619476,,0
1595203200000000000,0.09261725107264396,0.040366947650909424,,0
1595206800000000000,0.07545494895694627,0.06145472079515457,,0
1595210400000000000,0.09661192484095282,0.11525188386440277,,0
1595214000000000000,0.17650540020713124,0.16190475225448608,,0
1595217600000000000,0.3269714454801006,0.25219202041625977,,0
1595221200000000000,0.45258174286137,0.34724465012550354,,0
1595224800000000000,0.5272969374167776,0.4335014820098877,,0
1595228400000000000,0.5528924397100162,0.47848954796791077,,0
1595232000000000000,0.5796715490457168,0.5421262979507446,,0
1595235600000000000,0.610001479508803,0.5399816632270813,,0
1595239200000000000,0.5807072052078711,0.4970861077308655,,0
1595242800000000000,0.5783399911229471,0.4721258580684662,,0
1595246400000000000,0.5623612960497114,0.4314002990722656,,0
1595250000000000000,0.5524485870690931,0.414611279964447,,0
1595253600000000000,0.5323272673472407,0.4101686477661133,,0
1595257200000000000,0.5079153720964641,0.39914652705192566,,0
1595260800000000000,0.4985944666370764,0.38002103567123413,,0
1595264400000000000,0.4806924101198403,0.3653886914253235,,0
1595268000000000000,0.44044977067613555,0.339948832988739,,0
1595271600000000000,0.3966563101050451,0.31993067264556885,,0
1595275200000000000,0.3536026039354935,0.2646665871143341,,0
1595278800000000000,0.27370912856931506,0.31052061915397644,,0
1595282400000000000,0.22281402574345321,0.2270178496837616,,0
1595286000000000000,0.17487794052374617,0.17516650259494781,,0
1595289600000000000,0.15342506287912416,0.15222688019275665,,0
1595293200000000000,0.13670661340434975,0.1608186513185501,,0
1595296800000000000,0.1500221926320462,0.2096787691116333,,0
1595300400000000000,0.23006361887853233,0.2520344853401184,,0
1595304000000000000,0.3669181831631898,0.35676637291908264,,0
1595307600000000000,0.4888297085367658,0.4561401903629303,,0
1595311200000000000,0.5487498150613995,0.5317425727844238,,0
