Country,Val_MASE,Test_MASE,Val_sMAPE,Test_sMAPE,Val_RMSE,Test_RMSE,Val_MAPE,Test_MAPE
AT,1.0352207971333987,0.5633813173909059,31.509731684505,16.179481174397367,0.10936787632531379,0.06517828945323552,108.20796837882698,23.38824055943349
CH,1.3594547988709367,0.9462513445920323,21.4758265767968,15.117375154796289,0.10929877620747933,0.076881910698865,25.208653513104238,16.113984374705552
FR,1.2621400250994723,0.6524505414050502,43.394452627818865,23.3830637334914,0.10172124514810553,0.048317172581193724,96.73704835687649,38.405881416905544
